c_code	l_code	kw	query	no_results	num_results_for_query	ind
ZA	af	1	SDG	1230	About 1,230 results (0.38 seconds) 	473
ZA	af	2	Volhoubare Ontwikkelingsdoelwitte	211	About 211 results (0.57 seconds) 	473
ET	am	1	SDG	16700	About 16,700 results (0.40 seconds) 	129
ET	am	2	ለዘለቄታዊ የልማት ግብ	1038	1 result (0.38 seconds) 	129
AE	ar	1	SDG	12000	About 12,000 results (0.42 seconds) 	2
AE	ar	2	أهداف التنمية المستدامة	14900	About 14,900 results (0.52 seconds) 	2
BH	ar	1	SDG	17400	About 17,400 results (0.57 seconds) 	40
BH	ar	2	أهداف التنمية المستدامة	11300	About 11,300 results (0.47 seconds) 	40
DJ	ar	1	SDG	9	9 results (0.41 seconds) 	106
DJ	ar	2	أهداف التنمية المستدامة	8	8 results (0.47 seconds) 	106
DZ	ar	1	SDG	3570	About 3,570 results (0.43 seconds) 	113
DZ	ar	2	أهداف التنمية المستدامة	6520	About 6,520 results (0.40 seconds) 	113
EG	ar	1	SDG	20000	About 20,000 results (0.41 seconds) 	119
EG	ar	2	أهداف التنمية المستدامة	44900	About 44,900 results (0.39 seconds) 	119
EH	ar	1	SDG	3	3 results (0.53 seconds) 	120
EH	ar	2	أهداف التنمية المستدامة	3	3 results (0.40 seconds) 	120
ER	ar	1	SDG	1043	1 result (0.43 seconds) 	121
ER	ar	2	أهداف التنمية المستدامة	1077	1 result (0.77 seconds) 	121
IL	ar	1	SDG	3100	About 3,100 results (0.57 seconds) 	183
IL	ar	2	أهداف التنمية المستدامة	652	About 652 results (0.63 seconds) 	183
IQ	ar	1	SDG	17600	About 17,600 results (0.66 seconds) 	210
IQ	ar	2	أهداف التنمية المستدامة	5540	About 5,540 results (0.44 seconds) 	210
JO	ar	1	SDG	1560	About 1,560 results (0.44 seconds) 	220
JO	ar	2	أهداف التنمية المستدامة	13200	About 13,200 results (0.40 seconds) 	220
KM	ar	1	SDG	0	0	229
KM	ar	2	أهداف التنمية المستدامة	5	5 results (0.45 seconds) 	229
KW	ar	1	SDG	136000	About 136,000 results (0.65 seconds) 	236
KW	ar	2	أهداف التنمية المستدامة	8670	About 8,670 results (0.51 seconds) 	236
LB	ar	1	SDG	783	About 783 results (0.34 seconds) 	241
LB	ar	2	أهداف التنمية المستدامة	3160	About 3,160 results (0.46 seconds) 	241
LY	ar	1	SDG	5360	About 5,360 results (0.32 seconds) 	255
LY	ar	2	أهداف التنمية المستدامة	768	About 768 results (0.43 seconds) 	255
MA	ar	1	SDG	1670	About 1,670 results (0.40 seconds) 	256
MA	ar	2	أهداف التنمية المستدامة	9930	About 9,930 results (0.44 seconds) 	256
MR	ar	1	SDG	3	3 results (0.42 seconds) 	277
