c_code	l_code	kw	query	rank	ind	title	snippet	link	link_type	visible_link	domain	id	serp_id	ind
ZA	af	1	SDG	1	473	Fgj Sdg Profiele | Facebook	Bekyk die profiele van mense genaamd Fgj Sdg op Facebook. Sluit by Facebook aan om te konnekteer met Fgj Sdg en ander wat jy mag ken. Facebook maak ...	https://af-za.facebook.com/public/Fgj-Sdg	results	https://af-za.facebook.com/public/Fgj-Sdg	af-za.facebook.com	42715	5592	473
ZA	af	1	SDG	2	473	Sdg Fhdfghd Profiele | Facebook	Bekyk die profiele van mense genaamd Sdg Fhdfghd. Sluit by Facebook aan om in aanraking te kom met Sdg Fhdfghd en ander mense wat jy dalk ken.	https://af-za.facebook.com/public/Sdg-Fhdfghd	results	https://af-za.facebook.com/public/Sdg-Fhdfghd	af-za.facebook.com	42716	5592	473
ZA	af	1	SDG	3	473	Steve Di Giorgio Official - SDG - Facebook	Steve Di Giorgio Official - SDG. 10714 hou hiervan · 252 praat hieroor. Steve Di Giorgio Official The only real one, supported and updated by the real...	https://af-za.facebook.com/stevedigiorgioofficial/	results	https://af-za.facebook.com/stevedigiorgioofficial/	af-za.facebook.com	42717	5592	473
ZA	af	1	SDG	4	473	SDG Prokureurs & Aktebesorgers - Prokureur.co.za	Vind 'n regsfirma, slaan die reg na, 365 dikwels gestelde vrae oor n groot verskeidenheid regsonderwerpe.	http://prokureur.co.za/index.php/soek-resultate-prokureurs-in-durban/61-prokureurs/1118-sdg-prokureurs-aktebesorgers	results	prokureur.co.za/index...in.../1118-sdg-prokureurs-aktebesorgers	prokureur.co.za	42718	5592	473
ZA	af	1	SDG	5	473	Dr. S.D.G. Mngomezulu — General Practitioner in Daveyton, Benoni	Book your appointment with Dr. S.D.G. Mngomezulu, General Practitioner in Daveyton, Benoni — it's free! View the practice phone number, directions on a map ...	https://www.recomed.co.za/general-practitioner/benoni/sdg-mngomezulu/	results	https://www.recomed.co.za/general-practitioner/benoni/sdg-mngomezulu/	www.recomed.co.za	42719	5592	473
ZA	af	1	SDG	6	473	Alles tussen J.J. en S.D.G — Nederduitsch Hervormde Gemeente ...	May 17, 2015 - Erediens. Sondag 17 Mei 2015 9:00. Ds Hannes van der Merwe. Alles tussen J.J en S.D.G. Ds Hannes v d Merwe ...	http://www.pretoriaoos.com/preke/2015/5/17/alles-tussen-jj-en-sdg	results	www.pretoriaoos.com/preke/2015/5/17/alles-tussen-jj-en-sdg	www.pretoriaoos.com	42720	5592	473
ZA	af	1	SDG	7	473	None	Aug 28, 2012 - VERSLAG VAN DIE SINODALE DIENSRAAD VIR GETUIENIS (SDG). 1. ... 1.4.3 SDG bied opnuut sy dienste aan gemeentes, lidmate en.	http://www.ngk-ntvl.com/2012-Sinode/(15)%20132%20SDG%20-%20Finaal%20bl%2060-79.pdf	results	www.ngk-ntvl.com/.../(15)%20132%20SDG%20-%20Finaal%20bl...	www.ngk-ntvl.com	42721	5592	473
ZA	af	1	SDG	8	473	Sdg D.O.O. Domzale - Domžale - (01) 721 34 93 - Cybo	Sdg D.O.O. Domzale Domžale. Adres: Presernova Cesta 7a. Foon/faks: (01) 721 34 93. 1.5 Cybo-evaluasie. Gaan na op Cybo.	https://yellowpages-af.cybo.com/SI-biz/sdg-d.o.o.-domzale	results	https://yellowpages-af.cybo.com/SI-biz/sdg-d.o.o.-domzale	yellowpages-af.cybo.com	42722	5592	473
ZA	af	1	SDG	9	473	None	None	http://www.showbudgies.co.za/sabb24.pdf	results	www.showbudgies.co.za/sabb24.pdf	www.showbudgies.co.za	42723	5592	473
ZA	af	1	SDG	10	473	SDG Collections, Welkom Free State | Hotfrog SouthAfrica	SDG Collections in Welkom Free State. Find SDG Collections business details including phone number, location and services - Hotfrog Business Directory.	http://www.hotfrog.co.za/business/fs/welkom/sdg-collections	results	www.hotfrog.co.za/business/fs/welkom/sdg-collections	www.hotfrog.co.za	42724	5592	473
