l_code_wiki	SDG
af	Volhoubare Ontwikkelingsdoelwitte
am	ለዘለቄታዊ የልማት ግብ
ar	أهداف التنمية المستدامة
be	Мэты ўстойлівага развіцця
bg	Целите за устойчиво развитие
bn	টেকসই উন্নয়ন লক্ষ্যমাত্রা
bs	Ciljevi održivog razvoja
ca	Objectius de Desenvolupament Sostenible
cs	Cíle udržitelného rozvoje
da	Bæredygtige udviklingsmål
de	Sustainable Development Goals
el	Στόχοι για τη βιώσιμη ανάπτυξη
en	Sustainable Development Goals
en-gb	Sustainable Development Goals
eo	Celoj por Daŭripova Evoluigo
es	Objetivos de Desarrollo Sostenible
et	säästva arengu eesmärkide
fa	اهداف توسعه پایدار
fi	Kestävän kehityksen tavoitteet
fr	Objectifs de développement durable
gl	Obxectivos de Desenvolvemento Sostíbel
he	מטרות לפיתוח בר קיימא
hi	टिकाऊ विकास लक्ष्य
hr	Ciljevi održivog razvoja
hu	Fenntartható fejlődési célok
hy	Կայուն զարգացման նպատակներ
id	Tujuan Pembangunan Berkelanjutan
is	sjálfbær markmið þróun
it	Obiettivi di Sviluppo Sostenibile
ja	持続可能な開発目標
km	គោលដៅអភិវឌ្ឍន៍ប្រកបដោយចីរភាព
ko	지속가능 개발 목표
la	Proposita progressus durabilis
lo	ເປົ້າຫມາຍການພັດທະນາແບບຍືນຍົງ
lt	Darnaus vystymosi tikslai
lv	ilgtspējīgas attīstības mērķi
mk	Целите за одржлив развој
mn	Тогтвортой хөгжлийн зорилтууд
mr	शाश्वत विकास ध्येये
my	စဉ်ဆက်မပြတ် ဖွံ့ဖြိုးတိုးတက်မှု ပန်းတိုင်
nb	Bærekraftige utviklingsmål
ne	दिगो विकासका लक्ष्यहरू
nl	Duurzame ontwikkelingsdoelen
pl	Cele zrównoważonego rozwoju
pt	Objetivos de Desenvolvimento Sustentável
ro	Obiectivele de dezvoltare durabilă
ru	Цели устойчивого развития
sk	cieľov trvalo udržateľného rozvoja
sl	Cilji trajnostnega razvoja
sr	Циљеви одрживог развоја
sv	Hållbara utvecklingsmål
sw	malengo ya maendeleo endelevu
ta	வளங்குன்றா வளர்ச்சிக் குறிக்கோள்கள்
th	เป้าหมายของการพัฒนาที่ยั่งยืน
tl	Sustainable Development Goals
tr	Sürdürülebilir Gelişme Hedefleri
uk	Цілі сталого розвитку
vi	Mục tiêu phát triển bền vững
zh	可持续发展目标
zh-hant	永續發展目標
