no_results_Ranked	c_name	l_name	no_results	query	kw
552.0	Austria	Croatian	3	Ciljevi održivog razvoja	2
552.0	Uganda	Swahili	3	SDG	1
552.0	Guinea-Bissau	Portuguese	3	Objetivos de Desenvolvimento Sustentável	2
552.0	Chad	Arabic	3	أهداف التنمية المستدامة	2
552.0	Montserrat	English	3	Sustainable Development Goals	2
552.0	Comoros	French	3	SDG	1
552.0	Wallis & Futuna	French	3	SDG	1
564.5	Vanuatu	French	2	SDG	1
564.5	Cocos (Keeling) Islands	English	2	SDG	1
564.5	Myanmar (Burma)	Burmese	2	စဉ်ဆက်မပြတ် ဖွံ့ဖြိုးတိုးတက်မှု ပန်းတိုင်	2
564.5	Austria	Slovenian	2	Cilji trajnostnega razvoja	2
564.5	Tuvalu	English	2	Sustainable Development Goals	2
564.5	Austria	Hungarian	2	Fenntartható fejlődési célok	2
564.5	Macau SAR China	Portuguese	2	Objetivos de Desenvolvimento Sustentável	2
564.5	India	Nepali	2	दिगो विकासका लक्ष्यहरू	2
564.5	St. Pierre & Miquelon	French	2	SDG	1
564.5	Falkland Islands	English	2	SDG	1
573.5	Comoros	Arabic	0	SDG	1
573.5	Congo - Kinshasa	Swahili	0	SDG	1
573.5	North Korea	Korean	0	지속가능 개발 목표	2
573.5	Singapore	Tamil	0	வளங்குன்றா வளர்ச்சிக் குறிக்கோள்கள்	2
573.5	Syria	French	0	SDG	1
573.5	North Korea	Korean	0	SDG	1
573.5	British Indian Ocean Territory	English	0	Sustainable Development Goals	2
573.5	Svalbard & Jan Mayen	Norwegian Bokmål	0	Bærekraftige utviklingsmål	2
