no_results_Ranked	c_name	l_name	no_results	query	kw
1.0	United States	English	1110000	SDG	1
2.0	United Kingdom	English	983000	SDG	1
3.0	Indonesia	Indonesian	620000	SDG	1
4.0	Russia	Russian	496000	SDG	1
5.0	France	French	460000	SDG	1
6.0	Ukraine	Russian	423000	SDG	1
7.5	Japan	Japanese	414000	SDG	1
7.5	China	Chinese (Simplified)	414000	SDG	1
9.0	Germany	German	395000	SDG	1
10.0	Laos	Lao	353000	SDG	1
11.0	Lithuania	Lithuanian	350000	SDG	1
13.5	India	Tamil	346000	SDG	1
13.5	India	Bengali	346000	SDG	1
13.5	India	Marathi	346000	SDG	1
13.5	India	Nepali	346000	SDG	1
16.0	Spain	Galician	314000	SDG	1
17.0	Italy	Italian	277000	SDG	1
18.0	Spain	Spanish	248000	SDG	1
19.0	Brazil	Portuguese	232000	SDG	1
20.0	Turkey	Turkish	231000	SDG	1
21.0	India	English	224000	SDG	1
22.0	Finland	Finnish	183000	SDG	1
23.0	Poland	Polish	180000	SDG	1
24.0	Czech Republic	Czech	178000	SDG	1
25.0	United States	Spanish	173000	SDG	1
