no_results_Ranked	c_name	l_name	no_results	query	kw
1.0	Taiwan	Chinese (Traditional)	4350000	永續發展目標	3
2.0	China	Chinese (Simplified)	1910000	可持续发展目标	2
3.0	Thailand	Thai	1170000	เป้าหมายของการพัฒนาที่ยั่งยืน	2
4.0	Japan	Japanese	1100000	持続可能な開発目標	2
5.0	United States	English	892000	Sustainable Development Goals	2
6.0	Taiwan	Chinese (Traditional)	730000	可持續發展目標	2
7.0	France	French	631000	Objectifs de développement durable	2
8.0	Hong Kong SAR China	Chinese (Traditional)	323000	可持續發展目標	2
9.0	Vietnam	Vietnamese	321000	Mục tiêu phát triển bền vững	2
10.0	United States	Spanish	318000	Objetivos de Desarrollo Sostenible	2
11.0	Spain	Spanish	225000	Objetivos de Desarrollo Sostenible	2
12.0	Iran	Persian	224000	اهداف توسعه پایدار	2
13.0	Brazil	Portuguese	214000	Objetivos de Desenvolvimento Sustentável	2
14.0	Italy	Italian	158000	Obiettivi di Sviluppo Sostenibile	2
15.0	United Kingdom	English	145000	Sustainable Development Goals	2
16.0	India	English	133000	Sustainable Development Goals	2
17.0	Mexico	Spanish	123000	Objetivos de Desarrollo Sostenible	2
18.0	Philippines	English	119000	Sustainable Development Goals	2
19.0	Colombia	Spanish	109000	Objetivos de Desarrollo Sostenible	2
20.0	Hong Kong SAR China	Chinese (Traditional)	99900	永續發展目標	3
21.0	Papua New Guinea	English	91300	Sustainable Development Goals	2
22.0	Kenya	English	91000	Sustainable Development Goals	2
23.0	Canada	French	77100	Objectifs de développement durable	2
24.0	Côte d’Ivoire	French	76300	Objectifs de développement durable	2
25.0	Canada	English	68600	Sustainable Development Goals	2
